,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GUK1,22.82346740988336,-2.9539475033357228,0.30030481711718054,-9.836497235350961,7.839274737205315e-23,1.053477920453668e-20
IGFBP7,54.079764603772546,-3.0432645378023677,0.31019794435089515,-9.810717940670278,1.0124563001446561e-22,1.3490551192520702e-20
RPS6,225.8063251376627,-1.927011835369855,0.19672634321687146,-9.795392949715504,1.1783833085456336e-22,1.5569513243918485e-20
SAMD9L,247.470538917668,2.5974681948235965,0.2653417169363989,9.789143692946695,1.2535297072476451e-22,1.6424372989212272e-20
RPL17,141.30475451585636,-2.002880866808981,0.20472202289612285,-9.783416744691188,1.3265511211909936e-22,1.7237490312798343e-20
NDUFA4,17.785831490830933,-2.508125812345103,0.2576953036482399,-9.732912384653908,2.1825294389900836e-22,2.812779538462384e-20
TIAM2,45.36422116971826,3.756714608719219,0.38686350777796796,9.71069778666047,2.714721962857741e-22,3.47020922130181e-20
ARL3,17.123059071028067,-2.5924284892776694,0.2672026058814933,-9.70210780963504,2.9533332187518196e-22,3.744778886970553e-20
KRT8,185.9362876013777,-2.168666188640684,0.2239831904957276,-9.682272066224765,3.586552306795963e-22,4.511308953580234e-20
HERC5,61.04861192949333,3.125282223170828,0.32321698507151736,9.66930070979811,4.071505510521359e-22,5.080657233486296e-20
RPL41,851.8735725204593,-1.8606084625197903,0.19252135849668123,-9.664426207297225,4.270060423831475e-22,5.2864692947954554e-20
SERPING1,50.98943660415816,2.6651385479494367,0.27609507801470357,9.652973776691171,4.775053247839865e-22,5.865481423108297e-20
RPL39,31.66026738338031,-2.5355124184680156,0.26292918997927006,-9.643327995145464,5.24590842898757e-22,6.393908389842756e-20
RPL23A,170.60539794146823,-2.1217416422622413,0.2200982113183424,-9.639976761071575,5.420024490005813e-22,6.555311158181646e-20
SLPI,101.09372759967896,-2.1345560948242612,0.22260615561677297,-9.588935619996962,8.899836006305066e-22,1.0681841337949202e-19
SEPTIN4,110.63836557079749,5.016901899534003,0.5239347296163531,9.575432999464622,1.0143138249169376e-21,1.208186080997652e-19
SMDT1,9.566803799320992,-2.9806365708477784,0.31233666516183967,-9.543024893677911,1.3872573351382279e-21,1.6399885022840869e-19
EPSTI1,85.63032360839777,2.4166287494613723,0.25357368016871507,9.53028227477501,1.568561388220615e-21,1.8404843811188606e-19
RIPK4,14.398656357031431,-2.8879787862070025,0.3030900656967364,-9.528450823909996,1.5964774778284157e-21,1.8593641025108282e-19
CD274,34.35424121749573,3.380052230356324,0.35490251878678336,9.523889100339058,1.6681650118789516e-21,1.9285704766009379e-19
BLOC1S1,8.487335419951625,-3.3487882085719693,0.35224963017497346,-9.506860821709084,1.9650284611655418e-21,2.2551928828398404e-19
RPSA,155.4220160559883,-2.0937686718714117,0.22042146542916036,-9.498932727785137,2.1205242363251888e-21,2.4160146788218077e-19
RPL12,155.71854289423976,-2.022998796481633,0.21312270030982944,-9.492178888221089,2.2625468332234634e-21,2.5592822919980224e-19
AL022578.1,31.417130348968858,7.49482199703331,0.7910237025325616,9.474838709684295,2.6717313808992803e-21,3.0005451787056703e-19
RPS27A,111.12550779636473,-2.2007857956182892,0.23232627361999839,-9.472823548222435,2.7237952808685393e-21,3.037321503623833e-19
ALOX15P1,49.989548820841264,4.419401444783658,0.46677289502945485,9.467990733491026,2.8527814598649275e-21,3.158752316440582e-19
RPL18,56.50858485801946,-2.783184861515963,0.29419774415591987,-9.46025221743686,3.072013098568692e-21,3.3777106257898977e-19
RHOB,33.60694469224993,-2.575910160071601,0.2727833463360121,-9.4430623961135,3.620403488468019e-21,3.9530280589710187e-19
SLC25A6,42.31605553496426,-2.728606638914938,0.28904019647576373,-9.440232438894478,3.71953363812709e-21,4.033257061536016e-19
GBP4,146.67582706439092,2.3116703877666045,0.244981506679389,9.43610160252595,3.8690700266130804e-21,4.166670412906675e-19
EEF1B2,63.249431154990546,-2.2600008136620224,0.2401303657047757,-9.411557788741067,4.8883740317496884e-21,5.22856495926533e-19
RPL4,224.4217030155254,-1.9271565061852753,0.20529843542927087,-9.387097871231544,6.167619837587063e-21,6.55226261529604e-19
CXCR2P1,13.706286163689215,5.169455274596772,0.5512182862362862,9.378236179161924,6.708554141736235e-21,7.079100454397236e-19
C11orf88,20.651676289644328,-2.606838410176904,0.27821202145249385,-9.369970415250497,7.255286142823936e-21,7.60499093490805e-19
FAM183A,12.501813955013324,-2.9139730285737615,0.3111241901222698,-9.36594813610793,7.537050830623954e-21,7.848016570192081e-19
HINT1,41.35070107315796,-2.223769301604524,0.23806544532675972,-9.340999902578307,9.542859107460419e-21,9.849761686565205e-19
RPS24,85.61141332985544,-1.968565231443861,0.21075506199355915,-9.34053594168961,9.584770960023382e-21,9.849761686565205e-19
TMA7,11.937816919624574,-3.2672105291673432,0.3504122147790282,-9.323905935264454,1.1213446293250273e-20,1.1448637407063249e-18
RPS10,35.27251478837759,-3.140403839636107,0.3375701779216554,-9.302965857265225,1.3658157806801208e-20,1.3854659044924865e-18
SLAMF7,100.61294745951292,2.709605199912178,0.2917963833284617,9.28594511352151,1.6027831446023847e-20,1.6154204732425188e-18
ARL6IP4,14.275847593470347,-2.6997557330640642,0.2908227757711201,-9.283164724308918,1.6451789256115974e-20,1.6475890603433851e-18
PARP9,199.7173201572826,2.0772582797711476,0.22398046162700772,9.27428341151642,1.788169595015983e-20,1.7794550976225505e-18
NDUFB10,8.246423767287288,-2.8128087158058785,0.3035322333637773,-9.266919314084127,1.9159986824765037e-20,1.8946696405395014e-18
CBR1,18.8552640577346,-2.6510280007048106,0.28636052089795705,-9.257658815509313,2.0896365637236988e-20,2.053459730714232e-18
EEF1D,36.92589743159772,-2.6826011179538676,0.2905333144361676,-9.233368376910372,2.6225230510521157e-20,2.561113660353566e-18
RPL36,30.31741727704644,-3.105602391074411,0.3368180136988333,-9.220416559582508,2.959482403175344e-20,2.8723420879707368e-18
TUBB2A,16.451080559449835,-3.0649323672170223,0.33281926893594915,-9.208999157458237,3.291797784867531e-20,3.175272182298907e-18
RPL6,156.3328604605434,-2.0774518784274223,0.22567342093656023,-9.205567362810623,3.398709397753603e-20,3.258409015907311e-18
RPS25,57.8006726525871,-2.1258505742135654,0.23119440001804797,-9.195078142237064,3.747221403084273e-20,3.570761340648123e-18
OSR1,32.140259024368156,5.5997135991436515,0.6101424798744858,9.177714687716195,4.4033691299980976e-20,4.170733303069885e-18
RPL36A,56.33708593701206,-2.1158510052637913,0.2306308222317701,-9.174190096488875,4.5498166129375197e-20,4.283638718875247e-18
CLDN4,31.225002500307337,-2.8452731830150344,0.31178770775190456,-9.125674657062081,7.1290821784388e-20,6.672057088785312e-18
IFIT5,52.93149768611333,2.4090364485144926,0.26411599481218734,9.12113047234249,7.434473023537025e-20,6.9166993697676124e-18
DTX3L,212.17843533992956,2.028754283869281,0.2225318447177212,9.116691979265843,7.745233328627554e-20,7.163429625059472e-18
RPS16,74.81790215634855,-2.2577571678997623,0.24775463286248217,-9.112875677900826,8.022672004053768e-20,7.376635784779964e-18
RPS2,162.7326970626008,-2.3234354181448214,0.255109719658085,-9.107592690936448,8.423011954906002e-20,7.699710288778318e-18
C9orf116,12.788724908522838,-2.710766221836375,0.2977500613737748,-9.104166794556818,8.693111553973628e-20,7.900681674169212e-18
RPL23,115.37489107569121,-1.8355631985114196,0.2026753688850871,-9.056666375439766,1.344982121427346e-19,1.2153536721380551e-17
COX4I1,36.16936842276808,-2.404972642773101,0.2657553594218271,-9.049573442301668,1.4352791027847843e-19,1.2895367618905807e-17
DPY30,14.161911661625446,-2.5480377942313317,0.28192581021788443,-9.037972764047742,1.5960412587358698e-19,1.4258270858581862e-17
RPS9,45.230411786516676,-2.6860787702813895,0.2974351790264032,-9.030803884980086,1.704152547939638e-19,1.5138073735172277e-17
GSTA1,118.00871376782993,-2.018664757494759,0.22361644066785522,-9.027353943501621,1.7587282952649367e-19,1.5535103924972248e-17
KRT10,4.971986811583306,-3.478324114439786,0.3854961899765869,-9.022979227501681,1.8304228804462027e-19,1.6078066452098128e-17
RBM3,43.35963936143996,-1.9777153380374795,0.21927561905823548,-9.019312527911438,1.8927331300705667e-19,1.65330238911664e-17
MAGED2,35.200584018744074,-2.400555852803516,0.26686742922358525,-8.995312240941537,2.3556166370465626e-19,2.046263004656525e-17
ANAPC11,7.417942926273673,-3.964239946608828,0.44142585221565306,-8.980534163803682,2.694553673936698e-19,2.3278278799619065e-17
TAGLN2,60.31229261767772,-2.270864836618745,0.2529080076592068,-8.979015166964315,2.732011164042207e-19,2.3472902476631488e-17
PBX1,476.98103475301275,3.0875831909856952,0.34452803893050993,8.961776233279085,3.194896849966781e-19,2.7300740854362877e-17
COX5B,8.278285909423753,-2.7924633073614333,0.31165968114905646,-8.959976141494835,3.247486679830891e-19,2.7600125982151946e-17
SYT2,29.252060714377812,4.720087034120395,0.527333658144863,8.950854854828453,3.5273992913565087e-19,2.9749331947726855e-17
